12002-61-8;Ac2O3;Ac₂O₃;actinium(III) oxide;оксид актиния (III)
14104-20-2;AgBF4;AgBF₄;Silver tetrafluoroborate;Тетрафторборат серебра
7785-23-1;AgBr;AgBr;silver bromide;бромид серебра
7783-89-3;AgBrO3;AgBrO₃;silver bromate;бромат серебра
7783-90-6;AgCl;AgCl;silver chloride;хлорид серебра
69569-03-5;AgCl3Cu2;AgCl₃Cu₂;dicopper silver trichloride;димедь трихлорид серебра
7783-92-8;AgClO3;AgClO₃;silver chlorate;хлорат серебра
7783-93-9;AgClO4;AgClO₄;silver perchlorate;перхлорат серебра
506-64-9;AgCN;AgCN;silver cyanide;цианид серебра
5610-59-3;AgCNO;AgCNO;silver fulminate;гремучая серебряная
7775-41-9;AgF;AgF;silver fluoride;фторид серебра
7783-95-1;AgF2;AgF₂;silver(II) fluoride;фторид серебра(II)
7783-96-2;AgI;AgI;silver iodide;иодид серебра
7783-97-3;AgIO3;AgIO₃;silver iodate;иодат серебра
7783-98-4;AgMnO4;AgMnO₄;silver permanganate;перманганат серебра
13863-88-2;AgN3;AgN₃;silver azide;азид серебра
7761-88-8;AgNO3;AgNO₃;silver nitrate;нитрат серебра
1301-96-8;AgO;AgO;silver monoxide;монооксид серебра
3315-16-0;AgONC;AgONC;silver cyanate;цианат серебра
26042-63-7;AgPF6;AgPF₆;silver hexafluorophosphate;гексафторфосфат серебра
1701-93-5;AgSNC;AgSNC;silver thiocyanate;тиоцианат серебра
7659-31-6;Ag2C2;Ag₂C₂;silver acetylide;ацетилид серебра
534-16-7;Ag2CO3;Ag₂CO₃;silver(I) carbonate;карбонат серебра(I)
533-51-7;Ag2C2O4;Ag₂C₂O₄;silver oxalate;оксалат серебра
75763-82-5;Ag2Cl2;Ag₂Cl₂;silver(II) dichloride;дихлорид серебра(II)
7784-01-2;Ag2CrO4;Ag₂CrO₄;silver chromate;хромат серебра
7784-02-3;Ag2Cr2O7;Ag₂Cr₂O₇;silver dichromate;дихромат серебра
1302-01-8;Ag2F;Ag₂F;silver subfluoride;субфторид серебра
13765-74-7;Ag2MoO4;Ag₂MoO₄;silver molybdate;молибдат серебра
20667-12-3;Ag2O;Ag₂O;silver(I) oxide;оксид серебра(I)
21548-73-2;Ag2S;Ag₂S;silver sulfide;сульфид серебра
10294-26-5;Ag2SO4;Ag₂SO₄;silver sulfate;сульфат серебра
1302-09-6;Ag2Se;Ag₂Se;silver selenide;селенид серебра
7784-05-6;Ag2SeO3;Ag₂SeO₃;silver selenite;селенит серебра
7784-07-8;Ag2SeO4;Ag₂SeO₄;silver selenate;селенат серебра
12002-99-2;Ag2Te;Ag₂Te;silver(I) telluride;теллурид серебра(I)
11078-32-3;Ag3Br2;Ag₃Br₂;silver dibromide;дибромид серебра
11078-33-4;Ag3Br3;Ag₃Br₃;silver tribromide;трибромид серебра
12444-96-1;Ag3Cl3;Ag₃Cl₃;silver(III) trichloride;трихлорид серебра(III)
37375-12-5;Ag3I3;Ag₃I₃;silver(III) triiodide;трииодид серебра (III)
7784-09-0;Ag3PO4;Ag₃PO₄;silver phosphate;фосфат серебра
12041-48-4;AlBO;AlBO;aluminium boron oxide;оксид алюминия бора
